City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,13.69,overcast clouds
305,Lázaro Cárdenas,MX,17.9583,-102.2,82.33,58,7,9.06,clear sky
306,Kununurra,AU,-15.7667,128.7333,78.78,73,100,12.66,overcast clouds
307,Erzin,TR,36.9559,36.2,55.85,71,94,7.63,overcast clouds
308,Pervomayskoye,RU,43.919,46.7102,44.11,88,95,9.51,overcast clouds
309,Puerto del Rosario,ES,28.5004,-13.8627,69.55,94,0,4.61,clear sky
310,Yulara,AU,-25.2406,130.9889,71.26,24,100,16.4,overcast clouds
311,Zhigansk,RU,66.7697,123.3711,-39.55,97,100,10.6,overcast clouds
312,Berlevåg,NO,70.8578,29.0864,26.55,93,75,2.3,light snow
313,Tekkali,IN,18.6167,84.2333,70.74,71,1,3.67,clear sky
314,Léo,BF,11.1,-2.1,76.48,17,0,7.74,clear sky
315,Elk City,US,35.412,-99.4043,52.48,18,8,20.15,clear sky
316,Tamiahua,MX,21.2667,-97.45,80.92,66,5,8.68,clear sky
317,Sal Rei,CV,16.1833,-22.9167,77.23,74,0,11.45,clear sky
318,Nanortalik,GL,60.1432,-45.2371,19.6,70,21,8.01,few clouds
319,Yangi Marg`ilon,UZ,40.4272,71.7189,25.52,93,100,0.0,fog
320,Buchanan,LR,5.8808,-10.0467,79.97,80,14,6.82,few clouds
321,Cabo San Lucas,MX,22.8909,-109.9124,80.62,44,0,11.5,clear sky
322,Coquimbo,CL,-29.9533,-71.3436,69.53,68,0,12.66,clear sky
323,Sundsvall,SE,62.3913,17.3063,8.56,78,75,9.22,broken clouds
324,Airai,TL,-8.9266,125.4092,60.1,93,99,1.81,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,74.97,15,5,11.5,clear sky
326,Jacqueville,CI,5.2052,-4.4146,81.03,80,2,9.31,clear sky
327,Mar del Plata,AR,-38.0023,-57.5575,82.83,30,0,14.97,clear sky
328,Carutapera,BR,-1.195,-46.02,82.89,65,13,7.81,few clouds
329,Hailey,US,43.5196,-114.3153,23.79,80,100,0.0,overcast clouds
330,Adelaide,AU,-34.9333,138.6,53.85,75,0,5.75,clear sky
331,Zyryanka,RU,65.75,150.85,-38.11,93,84,9.78,broken clouds
332,Lumberton,US,34.6182,-79.0086,52.11,46,5,6.78,clear sky
333,Vila Franca do Campo,PT,37.7167,-25.4333,61.21,81,23,23.71,few clouds
334,Napanee,CA,44.2501,-76.9494,30.11,72,1,3.6,clear sky
335,Utete,TZ,-7.986,38.758,72.88,93,61,3.69,broken clouds
336,Codrington,AU,-38.2667,141.9667,50.92,78,100,19.77,overcast clouds
337,Nueva Concepción,GT,14.2,-91.3,85.15,60,100,6.58,overcast clouds
338,Hervey Bay,AU,-25.2986,152.8535,75.94,88,14,9.69,few clouds
339,North Bend,US,43.4065,-124.2243,46.17,87,0,5.75,clear sky
340,Mossamedes,AO,-15.1961,12.1522,69.13,73,51,4.56,broken clouds
341,Hay River,CA,60.8156,-115.7999,13.98,79,75,14.97,broken clouds
342,College,US,64.8569,-147.8028,6.08,84,75,6.91,broken clouds
